年份,前10支股票_年度報酬率(%),前10支股票_累積淨值,所有選中股票_年度報酬率(%),所有選中股票_累積淨值,前10支股票_回撤(%),所有選中股票_回撤(%)
初始,0.0,100000.0,0.0,100000.0,0.0,0.0
1998,93.74600000000001,193746.00000000003,8.761904761904763,108761.90476190478,0.0,0.0
1999,-21.085839999999997,152893.02843360003,-46.64730285714285,58027.40965442179,21.085839999999994,46.64730285714285
2000,119.99182999999998,336352.171193497,36.617463779527554,79275.57536682776,0.0,27.1108983054561
2001,39.69508999999999,469867.46826570976,-2.5685101694915247,77239.37415160787,0.0,28.98306229493148
2002,82.24915,856329.4670407757,38.69101493814433,107124.07194273567,0.0,1.5058883188507584
2003,51.43267999999999,1296762.6615695632,23.807089655172415,132627.19579241416,0.0,0.0
2004,69.31701000000001,2195639.765366004,21.593749213483143,161266.37984070333,0.0,0.0
2005,70.43717000000001,3742186.2794844573,26.033090912280706,203249.00311557754,0.0,0.0
2006,65.909335,6208636.370753905,14.078432857142852,231863.2775520163,0.0,0.0
2007,-33.69847,4116420.905946311,-49.5537921875,116966.2308347638,33.69847000000001,49.55379218750001
2008,181.70391,11596118.644108182,104.90389421487605,239668.36189679214,0.0,0.0
