證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unnamed: 5,股本(億),平均股價(元),營業收入(億),稅後淨利(億),營業利益率(%),ROE(%),稅後淨利率(%),ROA(%),M營業利益成長率,M稅後淨利成長率,PER,PBR,負債/淨值比,流動比率,速動比率,應收帳款周轉次,存貨周轉率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用K值,排名
1303,南亞,2011,5809000.0,60.1,,785,74.0,3310,231.0,10.1,8.46,6.978851963746223,5.2,-15.7,-43.5,25.1,2.2,261.6,18.35,339.0,91.66,55.04,-17.33149931224209,1.0,2011,1.0,2010,2011,1,1
2002,中鋼,2011,4816000.0,28.8,,1505,32.0,4010,195.0,6.03,6.94,4.86284289276808,3.61,-53.3,-48.1,23.5,1.64,-3.19,27.3,11.75,3.1,40.48,-14.02985074626865,1.0,2011,1.0,2010,2011,1,2
2303,聯電,2011,1805040.0,12.7,,1308,13.8,1167,106.0,4.44,3.87,9.08311910882605,3.02,-76.5,-55.6,16.4,0.84,156.2,27.07,195.9,54.54,49.24,-22.08588957055215,-1.0,2011,0.0,2010,2011,1,3
2303,聯電,2012,1670550.0,11.7,,1295,12.9,1157,61.8,0.74,2.03,5.341400172860847,1.5,-83.5,-41.8,26.3,0.81,148.0,12.85,199.5,51.14,48.73,-7.874015748031496,-1.0,2012,1.0,2011,2012,1,1
1303,南亞,2012,4568700.0,56.0,,785,58.2,3007,42.7,4.21,1.37,1.420019953441969,0.78,-62.1,-81.6,106.0,1.85,243.4,3.36,286.5,107.8,59.39,-6.821963394342764,-1.0,2012,0.0,2011,2012,1,2
2002,中鋼,2012,4214520.0,27.35,,1527,27.6,3583,58.9,2.23,2.09,1.643873848730115,1.04,-67,-69.8,70.7,1.49,0.43,37.32,14.12,3.18,38.59,-5.03472222222222,1.0,2012,0.0,2011,2012,1,3
2002,中鋼,2013,3996370.0,27.0,,1543,25.9,3478,160.0,7.06,5.9,4.600345025876941,2.81,+207,+171,24.6,1.35,-0.42,10.16,5.49,89.17,8.04,-1.279707495429621,-1.0,2013,1.0,2012,2013,1,1
1303,南亞,2013,4837300.0,68.9,,793,61.0,3110,253.0,4.76,9.13,8.135048231511254,5.1,+17.1,+492,19.1,1.71,77.59,244.1,189.2,3.17,6.3,23.0357142857143,1.0,2013,0.0,2012,2013,1,2
2303,聯電,2013,1560870.0,12.35,,1269,12.3,1238,126.0,3.26,5.81,10.17770597738287,4.18,+373,+104,12.2,0.74,39.29,184.2,147.6,7.15,7.42,5.555555555555559,-1.0,2013,0.0,2012,2013,1,3
1303,南亞,2014,5257589.999999999,65.5,,793,66.3,3255,317.0,3.36,10.4,9.738863287250384,6.2,-26.2,+25.6,16.6,1.65,60.01,295.4,221.1,3.4,6.4,-4.934687953555886,-1.0,2014,1.0,2013,2014,1,1
2002,中鋼,2014,4042610.0,26.3,,1573,25.7,3665,221.0,8.12,7.39,6.030013642564802,3.54,+21.2,+38.5,18.0,1.3,0.01,10.37,4.78,88.02,7.87,-2.59259259259259,-1.0,2014,0.0,2013,2014,1,2
2303,聯電,2014,1705820.0,14.75,,1273,13.4,1400,121.0,7.2,5.25,8.642857142857142,3.77,+150,-3.87,13.9,0.76,39.21,201.4,144.4,6.9,7.4,19.4331983805668,1.0,2014,0.0,2013,2014,1,3
