證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用準則,最大深度,排名
19982330,台積電       ,199812,429349,14.27,0.644318130193692,1.0266,1.711,0.10901,0.16363,0.27383,0.30431,0.50111,324.93,262.27,6.96,6.02,-7.51,-19.89,193.2025,1,1998,1.0,1997,1998,gini,5,1
2386,國電         ,199812,7165,21.82,0.120611613297162,1.3502,0.41069,0.15452,0.2746,0.082267,0.08352,0.77713,175.05,129.31,12.43,6.16,151.71,84.4,240.1467,1,1998,1.0,1997,1998,gini,5,2
2401,凌陽         ,199812,22356,25.91,0.458848828179931,1.3474,1.7285,0.19896,0.25028,0.3201,0.34635,0.25792,252.17,227.78,8.96,6.54,-0.65,-18.86,80.2007,1,1998,1.0,1997,1998,gini,5,3
2377,微星         ,199812,15779,16.12,0.49417393663927,0.85472,0.18331,0.1347,0.32744,0.087903,0.070242,1.4308,139.55,113.51,21.85,7.53,143.71,59.44,81.6998,1,1998,1.0,1997,1998,gini,5,4
1227,佳格         ,199812,11416,18.13,0.521649842464284,1.2643,0.7924,0.13296,0.18266,0.1301,0.11448,0.37377,234.08,136.96,4.65,7.42,10.23,25.6,-47.1594,-1,1998,1.0,1997,1998,gini,5,5
9910,豐泰         ,199812,10824,11.75,0.972974554763863,0.7615,0.28568,0.10948,0.17501,0.03773,0.069865,0.59857,87.76,51.52,15.52,17.73,-27.29,-16.12,-3.5745,-1,1998,1.0,1997,1998,gini,5,6
9917,中保         ,199812,18637,21.95,0.885168008202475,1.2345,1.4614,0.11066,0.14124,0.22422,0.16893,0.2763,140.51,124.33,95.47,19.34,19.19,-14.39,64.3736,1,1998,1.0,1997,1998,gini,5,7
2323,中環         ,199812,43764,18.14,0.258064695912067,0.9989,1.6053,0.099497,0.1988,0.23446,0.32606,0.99804,111.09,81.27,4.49,4.48,969.71,28.82,191.6759,1,1998,1.0,1997,1998,gini,5,8
2384,勝華         ,199812,9707,15.98,0.0604711791698936,0.90028,0.6703,0.10278,0.21049,0.20779,0.15676,1.048,140.8,40.24,1.73,7.62,6.5,16.32,80.2879,1,1998,1.0,1997,1998,gini,5,9
2379,瑞昱         ,199812,9547,17.07,0.656859890973707,0.79285,0.90557,0.15551,0.18161,0.22675,0.20742,0.16779,474.77,394.1,5.05,5.31,41.93,4.27,113.0053,1,1998,1.0,1997,1998,gini,5,10
1726,永記         ,199912,6861,24.21,0.67126437045174,1.0025,0.67101,0.145,0.18923,0.14564,0.12664,0.30502,339.42,254.43,5.42,4.24,12.78,21.91,-50.8881,-1,1999,1.0,1998,1999,gini,10,1
9921,巨大         ,199912,6463,11.62,0.154752348656045,0.68717,0.187,0.058476,0.15221,0.055352,0.041428,1.6029,133.45,86.43,3.48,4.47,-30.72,-13.65,58.864,1,1999,1.0,1998,1999,gini,10,2
2401,凌陽         ,199912,40368,46.69,0.0679927684700106,2.6055,3.0123,0.22444,0.26176,0.3121,0.30285,0.16626,414.98,360.17,8.58,7.51,47.49,38.4,20.6682,1,1999,1.0,1998,1999,gini,10,3
2707,晶華         ,199912,6684,33.12,0.861980478702072,2.9053,4.8778,0.08428,0.11485,0.25575,0.20139,0.36274,290.62,280.69,68.7,33.76,14.88,332.67,59.0882,1,1999,1.0,1998,1999,gini,10,4
2204,中華         ,199912,33987,16.41,0.344462411301042,0.66925,0.34635,0.086261,0.12804,0.053216,0.066259,0.48432,244.08,171.28,5.68,26.96,-23.14,-23.79,18.7081,1,1999,1.0,1998,1999,gini,10,5
1716,永信         ,199912,6810,15.11,0.768854252429615,0.73996,1.2235,0.052035,0.066804,0.19902,0.11253,0.28382,431.9,315.99,1.54,3.06,2.88,-16.01,-12.3097,1,1999,1.0,1998,1999,gini,10,6
2395,研華         ,199912,28884,44.96,0.602170487581795,2.4515,1.3009,0.20683,0.28454,0.20121,0.15217,0.37571,250.2,164.38,4.73,8.1,5.63,9.83,-36.0543,1,1999,1.0,1998,1999,gini,10,7
1722,台肥         ,199912,26250,19.48,0.462449159242329,0.61451,1.9402,-0.00036998,-0.00060884,0.051724,-0.0019215,0.64558,485.96,359.94,4.74,14.22,31.5,-100.87,-52.4127,-1,1999,1.0,1998,1999,gini,10,8
9933,中鼎         ,199912,9156,8.24,0.393456361215266,0.56516,0.22731,0.080957,0.16571,0.051641,0.066655,1.0469,125.01,72.68,5.7,10.74,-6.35,6.67,-24.6359,1,1999,1.0,1998,1999,gini,10,9
2411,飛瑞         ,199912,20974,26.42,0.784739294760742,1.5983,1.4986,0.17096,0.20652,0.22269,0.1937,0.20799,439.81,393.72,7.81,6.03,32.74,26.41,-29.9773,1,1999,1.0,1998,1999,gini,10,10
1520,D 復盛       ,200012,11017,11.23,0.0820712070977259,0.75776,0.3682,0.10979,0.2786,0.15461,0.14434,1.5375,118.65,71.81,3.68,6.22,59.24,107.06,65.0935,1,2000,1.0,1999,2000,gini,5,1
2360,致茂         ,200012,4670,8.64,0.196658191367632,0.50824,0.64865,0.074368,0.12225,0.12201,0.15597,0.64383,443.28,330.97,3.5,4.08,-3.45,-14.4,33.1019,1,2000,1.0,1999,2000,gini,5,2
9941,裕融         ,200012,5623,12.15,0.0567046890682912,0.65463,0.87789,0.042771,0.23174,0.37909,0.3108,4.4181,116.47,110.34,2.75,0.15,34.72,42.75,34.321,1,2000,1.0,1999,2000,gini,5,3
1605,華新         ,200012,45681,9.35,0.625959785171583,0.52617,0.79642,0.081829,0.12695,0.047639,0.20515,0.55143,139.99,91.11,5.27,5.93,56.59,179.88,-29.4118,-1,2000,1.0,1999,2000,gini,5,4
2365,昆盈         ,200012,3401,6.26,0.127888379782995,0.31825,0.1664,0.083033,0.1252,0.07811,0.065489,0.50777,192.6,118.51,5.68,10.1,305.6,194.28,72.3642,1,2000,1.0,1999,2000,gini,5,5
2331,精英         ,200012,6169,10.02,0.539982099037929,0.48429,0.075606,0.12086,0.36864,0.071841,0.060136,2.0501,131.16,109.18,19.85,5.55,35.18,20.67,677.7445,1,2000,1.0,1999,2000,gini,5,6
5346,力晶         ,200012,30405,8.01,0.86271071869967,0.45693,0.78684,0.098956,0.12987,0.24826,0.22367,0.31244,181.03,133.52,5.73,9.35,441.24,608.56,76.9039,1,2000,1.0,1999,2000,gini,5,7
2489,瑞軒         ,200012,3941,5.67,0.0484473392532221,0.23305,0.095086,0.0873,0.12361,0.035728,0.050436,0.41589,240.29,203.55,19.23,5.19,55.03,101.53,225.7496,1,2000,1.0,1999,2000,gini,5,8
2336,D 致伸       ,200012,4399,8.66,0.0463512648981808,0.54329,0.24136,0.058586,0.12581,0.062369,0.056137,1.1475,193.49,159.95,7.53,3.56,-12.25,420.05,13.2794,-1,2000,1.0,1999,2000,gini,5,9
2301,光寶科       ,200012,12862,8.71,0.535801055751113,0.44439,0.11366,0.086482,0.23381,0.067372,0.069752,1.7036,164.14,107.24,5.51,7.87,143.32,372.05,147.9908,1,2000,1.0,1999,2000,gini,5,10
1504,東元         ,200112,21363,7.89,0.037234634070328,0.47302,0.51068,0.0016005,0.0031525,-0.019364,0.003404,0.96973,169.85,115.76,3.89,4.88,-246.07,-83.23,-7.2243,1,2001,1.0,2000,2001,gini,3,1
2614,東森         ,200112,5024,4.19,0.852263890343846,0.47995,0.70658,-0.015943,-0.03394,0.028864,-0.052728,1.1288,89.18,42.34,4.82,27.81,-71.76,88.58,-13.6038,-1,2001,1.0,2000,2001,gini,3,2
2368,金像電       ,200112,4866,8.46,0.866749896999319,0.45435,0.55042,-0.017798,-0.028638,-0.039155,-0.034691,0.60904,112.45,82.44,5.94,3.06,-134.11,-129.51,-49.409,-1,2001,0.6666666666666666,2000,2001,gini,3,3
1605,華新         ,200112,31613,6.6,0.964422667215901,0.44474,0.60718,-0.024996,-0.037909,0.068748,-0.056484,0.51658,194.41,134.47,5.74,6.73,50.36,-119.89,1.8182,1,2001,0.6666666666666666,2000,2001,gini,3,4
2105,正新         ,200112,19311,7.68,0.315811438338866,0.46043,0.3687,0.068012,0.12138,0.13469,0.097187,0.78468,132.53,79.18,4.23,8.18,27.36,31.96,94.401,1,2001,0.6666666666666666,2000,2001,gini,3,5
2207,和泰         ,200112,8028,9.17,0.124872758719813,0.44385,0.099935,0.038664,0.088559,0.01475,0.019942,1.2905,117.93,102.26,28.11,5.62,-25.67,-19.0,102.5082,1,2001,0.6666666666666666,2000,2001,gini,3,6
2474,可成         ,200112,6173,9.53,0.0365630180484529,0.35075,0.96457,0.095907,0.10992,0.26223,0.30217,0.14614,417.44,354.98,4.07,3.0,-26.54,20.97,0.3148,1,2001,0.5384615384615384,2000,2001,gini,3,7
1710,東聯         ,200112,5306,4.27,0.228669482105501,0.36433,0.46769,0.052962,0.077535,0.092249,0.099554,0.46398,113.91,48.75,9.88,7.24,-3.39,12.79,183.6066,1,2001,0.5384615384615384,2000,2001,gini,3,8
1103,嘉泥         ,200112,5177,6.5,0.419048293624883,0.38012,0.47204,0.00083969,0.0025873,0.12748,0.0048003,2.0812,117.97,83.34,1.53,3.08,12.61,132.95,98.0,1,2001,0.5384615384615384,2000,2001,gini,3,9
