訓練年份,測試年份,前10支股票平均報酬率(%),所有選中股票平均報酬率(%),最佳準則,最大深度,最小分割樣本數,最小葉子樣本數,特徵數量,選中股票數量,最佳特徵組合
2010,2011,-4.222350511978064,-8.444470485105231,gini,7,2,1,1,4,稅後淨利率(%)
2011,2012,19.830702239033034,18.850688292554036,gini,3,5,1,1,7,速動比率
2012,2013,23.068580351900984,20.637134769362852,gini,3,2,2,2,9,"市值(百萬元), 負債/淨值比"
2013,2014,-1.139494591630295,-2.857142857142857,gini,3,2,1,1,1,ROA(%)
2014,2015,-0.2401886261347254,-2.8157558938887113,gini,3,2,5,1,11,ROE(%)
2015,2016,23.974809686975597,19.937548702662085,gini,3,2,2,1,12,M稅後淨利成長率
2016,2017,32.591772542047366,39.98763427745234,gini,7,2,1,2,7,"ROE(%), 營業利益率(%)"
2017,2018,-0.874227641829237,1.9948845415637404,gini,3,2,2,2,6,"ROE(%), 負債/淨值比"
2018,2019,29.611105030531366,27.255886728092488,gini,3,5,1,1,11,M稅後淨利成長率
2019,2020,26.995522964023827,26.995522964023827,gini,3,2,1,1,10,M營業利益成長率
2020,2021,26.799286106650534,30.81944838713447,gini,5,2,1,2,6,"收盤價(元), 流動比率"
2021,2022,-12.673942323636352,-3.4430438842203617,gini,3,2,2,2,2,"市值(百萬元), PER"
2022,2023,15.76845692735461,16.178491418756575,gini,5,2,2,2,7,"ROE(%), 稅後淨利率(%)"
2023,2024,-4.973368140545902,-4.33028072775733,gini,3,2,5,1,9,營業利益率(%)
