證券代號,公司名稱,市值(百萬元),年月,股本(億),收盤價(元),平均股價(元),營業收入(億),稅後淨利(億),營業利益率(%),ROE(%),稅後淨利率(%),ROA(%),M營業利益成長率,M稅後淨利成長率,PER,PBR,負債/淨值比,流動比率,速動比率,應收帳款周轉次,存貨周轉率,Return,年份,ReturnMean_year_Label,訓練年份,測試年份,使用準則,最大深度,選股類型
1101,台泥,1357920.0,2011,369.0,35.0,36.8,1185,86.2,13.6,10.8,7.274261603375527,5.24,3.31,7.33,15.8,1.4,3.13,93.82,35.56,3.72,51.09,6.70731707317074,2011,1,2010,2011,gini,7,預測為高於平均
1301,台塑,5875200.0,2011,612.0,80.8,96.0,2170,357.0,11.7,14.2,16.45161290322581,10.1,-18.5,-21.6,16.4,2.44,378.8,33.76,350.1,57.66,40.5,-17.12820512820513,2011,0,2010,2011,gini,7,預測為高於平均
1304,台聚,339948.0000000001,2011,99.4,24.35,34.2,578,32.1,9.87,16.9,5.55363321799308,9.05,1.29,9.01,9.75,1.9,1.4,160.8,64.76,6.71,44.98,-16.60958904109588,2011,0,2010,2011,gini,7,預測為高於平均
1314,中石化,685560.0,2011,197.0,26.95,34.8,439,109.0,12.4,32.4,24.82915717539863,21.9,8.96,72.8,6.29,1.79,6.32,295.4,228.5,4.34,41.14,-6.747404844290656,2011,1,2010,2011,gini,7,預測為高於平均
1101,台泥,1321020.0,2012,369.0,38.9,35.8,1137,77.8,11.6,7.38,6.842568161829375,3.73,-18.3,-9.69,17.0,1.32,4.19,96.1,38.23,3.99,57.78,11.14285714285714,2012,1,2011,2012,gini,3,預測為高於平均
1102,亞泥,1172490.0,2012,323.0,37.35,36.3,638,50.8,6.44,5.69,7.962382445141065,3.01,-53.8,-49.3,23.1,1.38,1.61,97.9,19.92,3.19,47.02,9.852941176470592,2012,1,2011,2012,gini,3,預測為高於平均
1104,環泥,85164.0,2012,60.4,16.0,14.1,48.3,6.98,-0.25,5.33,14.45134575569358,4.43,38.6,79.0,12.1,0.64,-0.16,139.7,22.27,7.1,77.66,20.30075187969924,2012,1,2011,2012,gini,3,預測為高於平均
1201,味全,166980.0,2012,50.6,36.15,33.0,266,8.09,4.44,6.16,3.041353383458647,1.91,48.6,18.1,20.6,2.08,-4.27,42.02,18.17,27.38,98.05,12.09302325581395,2012,1,2011,2012,gini,3,預測為高於平均
1216,統一,2318220.0,2012,486.0,53.3,47.7,4060,98.8,4.85,12.7,2.433497536945813,4.71,30.6,4.52,23.5,2.81,2.1,66.09,36.56,26.11,90.99,20.45197740112994,2012,1,2011,2012,gini,3,預測為高於平均
1227,佳格,501400.0,2012,57.5,79.5,87.2,179,22.4,13.5,23.7,12.51396648044692,17.1,-14.0,-8.84,22.2,5.02,1.42,175.3,41.73,16.99,80.73,-13.58695652173913,2012,0,2011,2012,gini,3,預測為高於平均
1305,華夏,49724.99999999999,2012,42.5,15.35,11.7,142,8.34,6.98,17.9,5.873239436619718,8.51,2135.0,1006.0,5.93,0.89,4.05,154.8,41.41,7.57,40.9,71.70022371364654,2012,1,2011,2012,gini,3,預測為高於平均
1101,台泥,1468620.0,2013,369.0,46.25,39.8,1161,100.0,15.3,10.2,8.613264427217917,5.43,34.6,28.8,14.6,1.3,0.03,36.52,8.33,80.34,5.29,18.89460154241646,2013,1,2012,2013,gini,3,預測為高於平均
1102,亞泥,1234200.0,2013,330.0,38.6,37.4,702,105.0,9.51,9.51,14.95726495726496,5.33,62.5,107.0,11.0,1.39,3.53,30.97,48.51,87.11,7.93,3.346720214190094,2013,0,2012,2013,gini,3,預測為高於平均
1103,嘉泥,110334.0,2013,77.7,15.7,14.2,42.7,12.7,9.75,6.8,29.74238875878219,4.12,313.0,289.0,7.21,0.48,0.24,320.1,100.2,-4.24,75.82,13.35740072202166,2013,1,2012,2013,gini,3,預測為高於平均
1104,環泥,125028.0,2013,60.4,28.25,20.7,52.8,11.1,2.34,8.06,21.02272727272727,6.65,1125.0,59.5,11.3,0.87,19.43,32.25,169.3,4.95,0.91,76.5625,2013,1,2012,2013,gini,3,預測為高於平均
1108,幸福,30618.0,2013,40.5,8.39,7.56,48.7,1.79,5.57,3.78,3.675564681724846,1.88,615.0,-9.59,17.2,0.7,23.09,27.79,4.05,6.41,1.9,25.5988023952096,2013,1,2012,2013,gini,3,預測為高於平均
1109,信大,45047.0,2013,42.1,11.95,10.7,45.5,2.75,7.09,4.61,6.043956043956044,3.34,260.0,221.0,16.5,0.73,36.77,238.5,165.3,5.17,4.74,12.20657276995304,2013,0,2012,2013,gini,3,預測為高於平均
1110,東泥,86944.0,2013,57.2,17.5,15.2,20.2,1.46,9.6,1.72,7.227722772277227,1.56,96.8,115.0,58.3,1.0,8.99,466.3,283.8,4.93,4.18,24.11347517730497,2013,1,2012,2013,gini,3,預測為高於平均
1305,華夏,76500.0,2013,45.0,16.9,17.0,142,7.53,6.42,13.6,5.302816901408451,7.19,-7.89,-9.68,10.2,1.26,82.03,260.7,172.5,9.72,8.09,10.09771986970683,2013,0,2012,2013,gini,3,預測為高於平均
