證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用模型,特徵選擇方法
19982330,台積電       ,199812,429349,14.27,0.644318130193692,1.0266,1.711,0.10901,0.16363,0.27383,0.30431,0.50111,324.93,262.27,6.96,6.02,-7.51,-19.89,193.2025,1,1998,1997,1998,LogisticRegression,f_classif
2357,華碩         ,199812,244863,231.8,0.378609382660268,6.0649,5.3571,0.32378,0.37232,0.28274,0.32883,0.14991,673.08,601.87,8.76,20.8,72.81,64.46,56.0181,1,1998,1997,1998,LogisticRegression,f_classif
2002,中鋼         ,199812,157989,5.02,0.532825588799455,0.30892,0.41799,0.090115,0.13792,0.18437,0.18617,0.53048,145.66,53.64,4.12,24.15,-18.53,17.08,39.6414,1,1998,1997,1998,LogisticRegression,f_classif
2356,英業達       ,199812,109491,23.67,0.875942811492984,1.3754,0.40747,0.11301,0.22328,0.067941,0.068796,0.97568,169.04,123.14,8.61,5.81,4.3,-12.57,-13.139,-1,1998,1997,1998,LogisticRegression,f_classif
2311,日月光       ,199812,96120,15.76,0.550156342898422,1.2823,1.3516,0.034119,0.065988,0.13683,0.077253,0.93408,145.36,120.93,8.13,5.37,-19.33,-72.55,130.6472,1,1998,1997,1998,LogisticRegression,f_classif
2306,宏電         ,199812,92292,22.47,0.587044704531417,1.2483,0.34379,0.023422,0.050061,0.0094263,0.014691,1.1373,127.1,81.79,8.83,7.42,-39.72,-34.78,191.3663,1,1998,1997,1998,LogisticRegression,f_classif
2313,華通         ,199812,90850,101.36,0.207742292733028,4.0334,2.504,0.15335,0.27669,0.2374,0.17175,0.80433,148.86,112.09,8.4,6.01,97.77,28.46,5.8307,-1,1998,1997,1998,LogisticRegression,f_classif
2324,仁寶         ,199812,88918,16.84,0.301246330279491,0.63,0.36293,0.16212,0.21551,0.12078,0.12424,0.32928,297.97,240.99,11.32,8.61,130.14,42.72,39.4893,1,1998,1997,1998,LogisticRegression,f_classif
1326,台化         ,199812,83304,8.62,0.470923348517591,0.43957,0.65254,0.063646,0.12089,0.065449,0.17945,0.89945,130.19,67.34,2.8,12.35,-24.27,172.43,53.7123,1,1998,1997,1998,LogisticRegression,f_classif
1216,統一         ,199812,76029,11.57,0.230488160211559,0.80069,0.42757,0.065497,0.11533,0.010382,0.06159,0.76087,100.46,57.46,9.28,21.8,-28.2,-43.9,-0.8643,-1,1998,1997,1998,LogisticRegression,f_classif
2342,茂矽         ,199812,72218,153.64,0.844308792695389,12.3803,30.3037,-0.031212,-0.069274,-0.21053,-0.1696,1.2195,92.46,54.44,2.6,4.95,-323.68,-213.96,63.9417,1,1998,1997,1998,LogisticRegression,f_classif
2201,裕隆         ,199812,69499,23.89,0.194764289567049,1.1009,0.60681,0.094917,0.18881,0.073977,0.10678,0.98917,151.42,121.48,8.55,4.13,18.55,17.03,-45.9188,-1,1998,1997,1998,LogisticRegression,f_classif
2204,中華         ,199812,59242,28.19,0.225921780972399,1.129,0.52672,0.12332,0.1799,0.066857,0.083949,0.45883,251.57,83.95,5.29,27.93,2.68,28.35,-41.7879,-1,1998,1997,1998,LogisticRegression,f_classif
2308,台達電       ,199812,58030,20.6,0.170708047147859,0.86737,0.44292,0.097233,0.16753,0.085775,0.085529,0.72298,226.62,169.84,8.17,4.35,21.21,-0.74,61.8932,1,1998,1997,1998,LogisticRegression,f_classif
2325,矽品         ,199812,51537,17.62,0.227664297816554,1.264,1.7325,0.094405,0.14314,0.14874,0.19621,0.51622,487.24,418.49,14.25,4.85,-28.72,2.65,74.4608,1,1998,1997,1998,LogisticRegression,f_classif
1101,台泥         ,199812,50457,13.64,0.311102286650413,0.72902,1.0404,0.03588,0.077355,0.088505,0.12042,1.1559,84.53,53.45,10.33,6.77,104.06,76.91,30.3519,1,1998,1997,1998,LogisticRegression,f_classif
2337,旺宏         ,199812,46788,18.25,0.979748378356085,1.3008,2.5923,-0.031836,-0.061764,-0.028371,-0.12298,0.94005,319.01,225.56,2.65,5.24,-122.99,-179.71,160.4932,1,1998,1997,1998,LogisticRegression,f_classif
2912,統一超       ,199812,44420,29.58,0.438869973126103,2.0205,0.30861,0.12235,0.21919,0.033487,0.033477,0.79153,84.87,43.95,24.24,155.48,31.97,21.24,62.5085,1,1998,1997,1998,LogisticRegression,f_classif
