證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數
2355,敬鵬         ,199812,9293,15.84,0.106216344928664,0.52712,0.6807,0.07771,0.099214,0.10331,0.12813,0.27672,268.7,240.58,11.4,4.69,23.98,21.12,-2.5884,-1,1998,0.7499999644886379,0.52712,0.6807,0.07771,0.099214,0.10331,0.12813,0.27672,268.7,240.58,11.4,4.69,23.98,21.12,0.10209099999999999,254.64,8.045,22.55,0.60391,-2.408503327317188,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2201,裕隆         ,199812,69499,23.89,0.194764289567049,1.1009,0.60681,0.094917,0.18881,0.073977,0.10678,0.98917,151.42,121.48,8.55,4.13,18.55,17.03,-45.9188,-1,1998,1.4028184731169422,1.1009,0.60681,0.094917,0.18881,0.073977,0.10678,0.98917,151.42,121.48,8.55,4.13,18.55,17.03,0.116121,136.45,6.34,17.79,0.853855,-3.563322384718102,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1507,永大         ,199812,13639,18.42,0.904722238067363,1.0222,1.3923,0.069737,0.095214,0.099523,0.13151,0.36533,218.89,144.57,2.12,3.65,-30.84,0.37,-39.3594,-1,1998,49.78364923338046,1.0222,1.3923,0.069737,0.095214,0.099523,0.13151,0.36533,218.89,144.57,2.12,3.65,-30.84,0.37,0.098996,181.73,2.885,-15.235,1.2072500000000002,-4.354341794068679,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1716,永信         ,199812,13321,31.84,0.805489424529686,1.557,2.0088,0.079881,0.10421,0.1952,0.13752,0.30453,230.3,144.93,1.3,3.08,35.43,5.11,-52.544,-1,1998,6.230918545808503,1.557,2.0088,0.079881,0.10421,0.1952,0.13752,0.30453,230.3,144.93,1.3,3.08,35.43,5.11,0.12920275,187.615,2.19,20.27,1.7829,-5.815109094695044,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1227,佳格         ,199812,11416,18.13,0.521649842464284,1.2643,0.7924,0.13296,0.18266,0.1301,0.11448,0.37377,234.08,136.96,4.65,7.42,10.23,25.6,-47.1594,-1,1998,0.7082030973358164,1.2643,0.7924,0.13296,0.18266,0.1301,0.11448,0.37377,234.08,136.96,4.65,7.42,10.23,25.6,0.14005,185.52,6.035,17.915,1.02835,-9.015918978786546,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1460,宏遠         ,199812,13342,18.8,0.859442305646212,1.2842,0.96164,0.092244,0.13135,0.10292,0.098325,0.4239,190.7,90.42,3.97,6.76,25.27,18.68,-54.6809,-1,1998,1.006423928992295,1.2842,0.96164,0.092244,0.13135,0.10292,0.098325,0.4239,190.7,90.42,3.97,6.76,25.27,18.68,0.10620975,140.56,5.365,21.975,1.1229200000000001,-11.689253789759409,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2316,楠梓電       ,199812,22206,41.74,0.963088539286913,2.315,1.9838,0.093412,0.16429,0.1518,0.15541,0.75877,93.06,61.37,7.0,5.55,51.55,49.23,-20.4121,-1,1998,0.8478569805432262,2.315,1.9838,0.093412,0.16429,0.1518,0.15541,0.75877,93.06,61.37,7.0,5.55,51.55,49.23,0.141228,77.215,6.275,50.39,2.1494,-12.640013168595011,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1714,和桐         ,199812,11100,14.44,0.722439592366842,0.87942,0.68664,0.059299,0.080457,0.10391,0.077571,0.35681,251.89,149.74,12.64,5.38,47.16,36.42,-11.8421,-1,1998,0.3964854366698123,0.87942,0.68664,0.059299,0.080457,0.10391,0.077571,0.35681,251.89,149.74,12.64,5.38,47.16,36.42,0.08030925,200.815,9.01,41.79,0.78303,-14.578280348698941,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2368,金像電       ,199812,14893,26.19,0.334163052737496,0.74151,0.83275,0.078152,0.1046,0.12214,0.11746,0.33843,204.37,177.12,10.78,4.92,15.23,11.61,-8.0565,-1,1998,2.2558137591891683,0.74151,0.83275,0.078152,0.1046,0.12214,0.11746,0.33843,204.37,177.12,10.78,4.92,15.23,11.61,0.105588,190.745,7.85,13.42,0.78713,-15.613711190659963,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2430,燦坤         ,199812,7337,16.83,0.644764536870088,0.88069,0.19611,0.048672,0.13615,0.10022,0.046043,1.7974,126.03,73.12,3.5,10.7,30.78,23.53,-12.7748,-1,1998,0.7152570881743693,0.88069,0.19611,0.048672,0.13615,0.10022,0.046043,1.7974,126.03,73.12,3.5,10.7,30.78,23.53,0.08277125,99.575,7.1,27.155,0.5384,-16.17512092256566,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2310,旭麗         ,199812,18849,33.58,0.987982003161633,1.638,0.78458,0.080531,0.1684,0.086352,0.080666,1.0912,165.58,121.75,6.53,7.15,169.24,-59.27,11.2865,1,1998,-0.5665598205932144,1.638,0.78458,0.080531,0.1684,0.086352,0.080666,1.0912,165.58,121.75,6.53,7.15,169.24,-59.27,0.10398725,143.66500000000002,6.84,54.985,1.21129,-16.43350291683783,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1513,中興電       ,199812,6500,6.38,0.584069333278452,0.47154,0.26462,0.047101,0.13329,0.033084,0.074803,1.8298,150.35,50.01,2.12,6.71,-8.29,125.51,-3.1348,-1,1998,0.05083260257483386,0.47154,0.26462,0.047101,0.13329,0.033084,0.074803,1.8298,150.35,50.01,2.12,6.71,-8.29,125.51,0.0720695,100.17999999999999,4.415,58.61,0.36808,-16.665942532852576,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
5604,中連         ,199812,6678,13.12,0.730248792267598,0.91684,1.5046,0.042965,0.064843,0.14661,0.10642,0.50922,257.01,250.91,0.0,4.89,-3.79,-5.58,-51.2957,-1,1998,-2.351254901658584,0.91684,1.5046,0.042965,0.064843,0.14661,0.10642,0.50922,257.01,250.91,0.0,4.89,-3.79,-5.58,0.0902095,253.95999999999998,2.445,-4.6850000000000005,1.21072,-16.845336106123423,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2102,泰豐         ,199812,10923,26.88,0.518594942510538,2.0395,1.8348,0.094047,0.15343,-0.0082076,0.13804,0.63148,108.57,80.25,8.21,5.72,-270.16,117.41,-35.1935,-1,1998,0.22894131480332752,2.0395,1.8348,0.094047,0.15343,-0.0082076,0.13804,0.63148,108.57,80.25,8.21,5.72,-270.16,117.41,0.09432735,94.41,6.965,-76.37500000000001,1.93715,-16.88055104542276,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
