證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數,排名
2102,泰豐         ,199812,10923,26.88,0.518594942510538,2.0395,1.8348,0.094047,0.15343,-0.0082076,0.13804,0.63148,108.57,80.25,8.21,5.72,-270.16,117.41,-35.1935,-1,1998,0.22894131480332752,2.0395,1.8348,0.094047,0.15343,-0.0082076,0.13804,0.63148,108.57,80.25,8.21,5.72,-270.16,117.41,0.09432735,94.41,6.965,-76.37500000000001,1.93715,34.515610056847464,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,1
2355,敬鵬         ,199812,9293,15.84,0.106216344928664,0.52712,0.6807,0.07771,0.099214,0.10331,0.12813,0.27672,268.7,240.58,11.4,4.69,23.98,21.12,-2.5884,-1,1998,0.7499999644886379,0.52712,0.6807,0.07771,0.099214,0.10331,0.12813,0.27672,268.7,240.58,11.4,4.69,23.98,21.12,0.10209099999999999,254.64,8.045,22.55,0.60391,11.514511977711003,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,2
2316,楠梓電       ,199812,22206,41.74,0.963088539286913,2.315,1.9838,0.093412,0.16429,0.1518,0.15541,0.75877,93.06,61.37,7.0,5.55,51.55,49.23,-20.4121,-1,1998,0.8478569805432262,2.315,1.9838,0.093412,0.16429,0.1518,0.15541,0.75877,93.06,61.37,7.0,5.55,51.55,49.23,0.141228,77.215,6.275,50.39,2.1494,5.89663848725279,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,3
1802,台玻         ,199812,34410,12.75,0.296675873218327,0.63591,1.157,0.054336,0.072752,0.14636,0.13924,0.33893,239.75,157.76,3.16,6.82,-5.98,-41.26,-18.902,-1,1998,-0.3090160036116336,0.63591,1.157,0.054336,0.072752,0.14636,0.13924,0.33893,239.75,157.76,3.16,6.82,-5.98,-41.26,0.10317200000000001,198.755,4.99,-23.619999999999997,0.896455,5.364508440308448,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,4
1319,東陽         ,199812,10119,15.52,0.825313795402046,0.99296,0.84624,0.083943,0.13778,0.041949,0.12189,0.6413,97.93,68.52,10.26,4.01,127.67,359.25,-24.1624,-1,1998,0.043201113310504906,0.99296,0.84624,0.083943,0.13778,0.041949,0.12189,0.6413,97.93,68.52,10.26,4.01,127.67,359.25,0.0963905,83.225,7.135,243.46,0.9196,3.78385939071833,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,5
2315,神達         ,199812,30500,17.4,0.507858284661118,1.029,0.094699,0.060287,0.15504,0.024647,0.016812,1.5717,140.01,67.83,9.57,13.62,417.13,225.11,22.0115,1,1998,0.0772955440571474,1.029,0.094699,0.060287,0.15504,0.024647,0.016812,1.5717,140.01,67.83,9.57,13.62,417.13,225.11,0.0641965,103.91999999999999,11.594999999999999,321.12,0.5618495,3.1961660949754673,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,6
2310,旭麗         ,199812,18849,33.58,0.987982003161633,1.638,0.78458,0.080531,0.1684,0.086352,0.080666,1.0912,165.58,121.75,6.53,7.15,169.24,-59.27,11.2865,1,1998,-0.5665598205932144,1.638,0.78458,0.080531,0.1684,0.086352,0.080666,1.0912,165.58,121.75,6.53,7.15,169.24,-59.27,0.10398725,143.66500000000002,6.84,54.985,1.21129,2.8493490221102675,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,7
1714,和桐         ,199812,11100,14.44,0.722439592366842,0.87942,0.68664,0.059299,0.080457,0.10391,0.077571,0.35681,251.89,149.74,12.64,5.38,47.16,36.42,-11.8421,-1,1998,0.3964854366698123,0.87942,0.68664,0.059299,0.080457,0.10391,0.077571,0.35681,251.89,149.74,12.64,5.38,47.16,36.42,0.08030925,200.815,9.01,41.79,0.78303,-1.1551807254703341,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,8
1460,宏遠         ,199812,13342,18.8,0.859442305646212,1.2842,0.96164,0.092244,0.13135,0.10292,0.098325,0.4239,190.7,90.42,3.97,6.76,25.27,18.68,-54.6809,-1,1998,1.006423928992295,1.2842,0.96164,0.092244,0.13135,0.10292,0.098325,0.4239,190.7,90.42,3.97,6.76,25.27,18.68,0.10620975,140.56,5.365,21.975,1.1229200000000001,-1.784495119350293,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,9
2201,裕隆         ,199812,69499,23.89,0.194764289567049,1.1009,0.60681,0.094917,0.18881,0.073977,0.10678,0.98917,151.42,121.48,8.55,4.13,18.55,17.03,-45.9188,-1,1998,1.4028184731169422,1.1009,0.60681,0.094917,0.18881,0.073977,0.10678,0.98917,151.42,121.48,8.55,4.13,18.55,17.03,0.116121,136.45,6.34,17.79,0.853855,-1.7881630488555018,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,10
2430,燦坤         ,199812,7337,16.83,0.644764536870088,0.88069,0.19611,0.048672,0.13615,0.10022,0.046043,1.7974,126.03,73.12,3.5,10.7,30.78,23.53,-12.7748,-1,1998,0.7152570881743693,0.88069,0.19611,0.048672,0.13615,0.10022,0.046043,1.7974,126.03,73.12,3.5,10.7,30.78,23.53,0.08277125,99.575,7.1,27.155,0.5384,-2.8115676367983333,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,11
