年份,前10支股票_年度報酬率(%),前10支股票_累積淨值,前30支股票_年度報酬率(%),前30支股票_累積淨值,前10支股票_回撤(%),前30支股票_回撤(%)
初始,0.0,100000.0,0.0,100000.0,0.0,0.0
1998,8.37162,108371.62,0.6746866666666664,100674.68666666666,0.0,0.0
1999,-47.14575000000001,57279.00696384999,-47.07865333333335,53278.3999364471,47.14575,47.078653333333335
2000,-11.426509999999999,50734.015505224976,18.065900000000003,62903.622390565695,53.185146161675,37.51793576588001
2001,0.4860059999999997,50980.585864621295,-6.742608000000001,58662.27771496963,52.95762316312952,41.73085642749491
2002,20.601280000000003,61483.23910423235,29.73923333333334,76107.98936327244,43.266291392310684,24.402059859132635
2003,24.423759999999998,76499.7578632762,18.2828,90022.66084258081,29.409786562869318,10.580639659058143
2004,7.09675,81928.75442943827,4.999123333333331,94523.00468604978,24.40017559076973,6.1104555517367185
2005,25.40564,102743.27883626541,12.176826666666669,106032.90712679527,5.193556360728562,0.0
2006,8.91188,111899.63655421879,8.957903333333332,115531.23244873669,0.0,0.0
2007,-41.762964999999994,65167.03050495319,-48.91567166666667,59018.354111659195,41.762964999999994,48.91567166666666
2008,46.9758,95779.764420899,70.10927333333333,100395.69331263691,14.405651912469994,13.100820284952547
