train_year,test_year,best_k,avg_return,n_features,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率
1997,1998,13,24.073053846153847,8,1.0,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0
1997,1999,3,-40.46843942307692,8,1.0,,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0
1997,2000,5,38.58789920634921,8,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,
1997,2001,9,-7.518622988505748,8,1.0,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0
1997,2002,19,28.929185077586204,8,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0
1997,2003,3,1.6219475342465755,8,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,
1997,2004,13,21.59584443609023,8,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0
1997,2005,9,28.70879628358209,8,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1997,2006,7,11.772086328125,8,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0
1997,2007,17,-49.40532668874172,8,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0
1998,1999,11,-46.68566610169491,8,1.0,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0
1998,2000,13,60.927510169491526,8,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0
1998,2001,13,-9.39654754098361,8,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,
1998,2002,17,34.5344035,8,,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0
1998,2003,5,1.0593679999999999,8,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,
1998,2004,5,20.384761458333333,8,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,
1998,2005,13,24.564520650602415,8,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,
1998,2006,11,16.782378313253012,8,1.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0
1998,2007,11,-49.42203467889909,8,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0
1999,2000,3,36.62441507936508,8,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0
1999,2001,5,3.9390014035087724,8,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0
1999,2002,3,35.204333,8,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0
