test_year,stock_name,return
1998,國產         ,-24.158
1998,長億         ,-33.8082
1998,東泥         ,-7.2096
1998,正隆         ,4.6178
1998,南紡         ,-28.5864
1998,春源         ,5.6017
1998,華紙         ,52.7149
1998,宏總         ,-76.1783
1998,智邦         ,153.0937
1998,大陸         ,-21.0983
1999,泰豐         ,-73.7658
1999,立榮         ,-29.3965
1999,皇旗         ,-100.0
1999,力鵬         ,-66.4071
1999,遠百         ,-17.6796
1999,東陽         ,-23.2795
1999,宏遠         ,-40.7277
1999,大陸         ,-27.1062
1999,藍天         ,-77.2687
1999,台橡         ,-61.8081
2000,永豐餘       ,-11.5152
2000,雅新         ,177.3619
2000,永信         ,31.0943
2000,冠德         ,-8.4668
2000,太設         ,-1.956
2000,東泥         ,4.2857
2000,南紡         ,-5.2805
2000,中興電       ,1.4523
2000,大陸         ,-4.1876
2000,國產         ,-7.113
2001,中鼎         ,91.0394
2001,東陽         ,121.9432
2001,華新科       ,-59.5364
2001,永豐餘       ,28.0822
2001,東訊         ,-38.9133
2001,三商電       ,-49.9526
2001,鴻準         ,-13.7159
2001,金像電       ,-49.409
2001,耀文         ,-59.5413
2001,京元電       ,10.2067
2002,太電         ,-100.0
2002,中纖         ,116.8337
2002,福懋         ,5.3635
2002,永豐餘       ,59.5365
2002,正隆         ,29.5385
2002,遠百         ,67.3267
2002,遠雄         ,30.7607
2002,聯華         ,12.4088
2002,國巨         ,67.8313
2002,神達         ,15.5612
2003,華新科       ,-28.5714
2003,聯成         ,-8.2505
2003,東鋼         ,96.0
2003,長興         ,11.391
2003,春源         ,37.1245
2003,特力         ,-1.107
2003,新纖         ,13.0952
2003,東元         ,-4.4653
2003,華新         ,64.691
2003,中工         ,26.0181
2004,東元         ,-8.1181
2004,遠百         ,15.8106
2004,錸德         ,-7.1552
2004,聲寶         ,-36.1188
2004,統一         ,-3.6004
2004,龍邦         ,12.874
2004,新纖         ,-27.2515
2004,國巨         ,22.8354
2004,中工         ,-29.0844
2004,緯創         ,174.1789
2005,統一         ,113.7255
2005,統一實       ,106.6784
2005,中鼎         ,133.9703
2005,燦坤         ,-30.5256
2005,南紡         ,121.3064
2005,台聚         ,12.0795
2005,遠百         ,14.3451
2005,環電         ,48.2315
2005,三陽         ,101.8775
2005,新纖         ,30.2251
2006,大同         ,7.8767
2006,華映         ,60.698
2006,環電         ,18.6551
2006,永豐餘       ,-9.8662
2006,雅新         ,-100.0
2006,正隆         ,-13.2092
2006,彩晶         ,92.8125
2006,聯華         ,11.674
2006,錸德         ,-19.3823
2006,金寶         ,-10.7335
2007,大陸         ,-46.0227
2007,華新         ,-51.1521
2007,華邦電       ,-65.6285
2007,中環         ,-54.2478
2007,三陽         ,-62.3011
2007,精英         ,-52.1592
2007,錸德         ,-43.7252
2007,燁輝         ,-16.9378
2007,金寶         ,-39.3788
2007,永豐餘       ,-38.3117
2008,大同         ,28.7356
2008,華邦電       ,216.1812
2008,燁輝         ,49.1935
2008,錸德         ,106.5728
2008,中環         ,59.9613
2008,唐榮         ,56.998
2008,勝華         ,343.9252
2008,特力         ,23.0126
2008,大陸         ,54.386
2008,正隆         ,85.9813
