test_year,train_year,max_depth,min_samples_split,min_samples_leaf,n_features,train_return,train_n_selected,test_return,test_std,test_n_selected
1998,1997,8,3,1,6,8.739745161290324,62,2.7698499999999973,63.279967244101044,10
1999,1998,5,3,1,6,84.51668421052631,38,-43.638929999999995,19.079546830103173,10
2000,1999,10,3,2,4,-19.720435714285713,56,32.82264,71.79320918265459,10
2001,2000,5,3,1,4,139.29649285714285,14,12.55398,52.520484021756694,10
2002,2001,8,5,2,6,37.46890630136986,73,35.27672,49.62950553446609,10
2003,2002,5,3,1,4,69.9102125,8,7.9331,43.06032975318853,6
2004,2003,8,3,2,5,28.093863684210522,76,5.73497,43.65764203284575,10
2005,2004,15,5,2,5,71.14244461538462,65,41.23644900000001,42.12970050986369,10
2006,2005,10,3,2,6,73.89771111111112,72,14.103890000000002,47.66965183710595,10
2007,2006,15,3,2,5,46.573408974358976,78,-53.772220000000004,25.70292313067912,10
2008,2007,10,5,2,16,-32.02563935064936,77,100.98044,40.33559844311721,10
