test_year,feature_name
1998,市值(百萬元)
1998,股價淨值比
1998,股價營收比
1998,M淨值報酬率─稅後
1998,資產報酬率ROA
1998,營業利益率OPM
1999,市值(百萬元)
1999,股價淨值比
1999,股價營收比
1999,M淨值報酬率─稅後
1999,資產報酬率ROA
1999,營業利益率OPM
2000,M流動比率
2000,M速動比率
2000,M存貨週轉率 (次)
2000,M應收帳款週轉次
2001,M流動比率
2001,M速動比率
2001,M存貨週轉率 (次)
2001,M應收帳款週轉次
2002,市值(百萬元)
2002,股價淨值比
2002,股價營收比
2002,M淨值報酬率─稅後
2002,資產報酬率ROA
2002,營業利益率OPM
2003,M流動比率
2003,M速動比率
2003,M存貨週轉率 (次)
2003,M應收帳款週轉次
2004,股價淨值比
2004,股價營收比
2004,M淨值報酬率─稅後
2004,資產報酬率ROA
2004,營業利益率OPM
2005,股價淨值比
2005,股價營收比
2005,M淨值報酬率─稅後
2005,資產報酬率ROA
2005,營業利益率OPM
2006,市值(百萬元)
2006,股價淨值比
2006,股價營收比
2006,M淨值報酬率─稅後
2006,資產報酬率ROA
2006,營業利益率OPM
2007,股價淨值比
2007,股價營收比
2007,M淨值報酬率─稅後
2007,資產報酬率ROA
2007,營業利益率OPM
2008,市值(百萬元)
2008,收盤價(元)_年
2008,Unknown masked parameter
2008,股價淨值比
2008,股價營收比
2008,M淨值報酬率─稅後
2008,資產報酬率ROA
2008,營業利益率OPM
2008,利潤邊際NPM
2008,負債/淨值比
2008,M流動比率
2008,M速動比率
2008,M存貨週轉率 (次)
2008,M應收帳款週轉次
2008,M營業利益成長率
2008,M稅後淨利成長率
