test_year,stock_name,return
1998,台揚         ,158.9325
1998,劍湖山       ,-4.755
1998,高林         ,-44.6927
1998,華夏         ,53.3516
1998,中電         ,-11.0615
1998,嘉裕         ,-56.0155
1998,中友         ,-80.3584
1998,春源         ,5.6017
1998,英群         ,13.9054
1998,東泥         ,-7.2096
1999,國建         ,-25.641
1999,第一店       ,-20.2051
1999,可成         ,-75.0269
1999,偉詮電       ,-36.4522
1999,盛餘         ,-42.301
1999,鑽全         ,-30.2224
1999,環科         ,-24.8422
1999,永記         ,-50.8881
1999,漢唐         ,-55.5268
1999,台林         ,-75.2836
2000,訊連         ,11.6716
2000,燁輝         ,-30.4167
2000,亞旭         ,162.3077
2000,燦坤         ,157.7938
2000,遠見         ,40.464
2000,遠雄港       ,-52.2515
2000,特力         ,63.6111
2000,燿華         ,19.0476
2000,永光         ,-10.4455
2000,劍湖山       ,-33.5557
2001,松翰         ,-30.2349
2001,敬鵬         ,-24.0684
2001,迎廣         ,-64.2834
2001,和泰         ,102.5082
2001,鴻準         ,-13.7159
2001,特力         ,22.326
2001,億豐         ,96.6168
2001,農林         ,-28.9879
2001,D 致伸       ,36.3914
2001,中碳         ,28.9879
2002,禾伸堂       ,33.0239
2002,成霖         ,-9.7892
2002,毅嘉         ,76.1416
2002,博達         ,-12.6126
2002,敦南         ,40.8654
2002,榮化         ,19.9673
2002,神基         ,-26.8638
2002,聯華         ,12.4088
2002,超豐         ,71.9298
2002,普安         ,147.696
2003,國建         ,55.8119
2003,台肥         ,74.4707
2003,必翔         ,-41.1171
2003,普安         ,-13.6423
2003,華紙         ,2.9977
2003,智冠         ,-30.9223
2004,新光鋼       ,-62.1876
2004,台橡         ,45.1531
2004,關中         ,-54.2203
2004,四維航       ,-7.3838
2004,永信         ,6.5078
2004,宏普         ,-12.4294
2004,榮化         ,66.6667
2004,全國         ,12.6509
2004,華立         ,74.4708
2004,永記         ,-11.8785
2005,光磊         ,71.088
2005,訊連         ,86.5458
2005,必翔         ,20.3318
2005,新纖         ,30.2251
2005,中鼎         ,133.9703
2005,盛餘         ,41.3068
2005,永信         ,0.43029
2005,泰林         ,29.9683
2005,華孚         ,-13.5814
2005,台聚         ,12.0795
2006,大成鋼       ,8.167
2006,盛群         ,-17.4675
2006,聯成         ,15.1698
2006,長虹         ,-26.1784
2006,松翰         ,-3.2514
2006,陞泰         ,52.2734
2006,聯華         ,11.674
2006,大聯大       ,136.4328
2006,國揚         ,-43.3119
2006,年興         ,7.5311
2007,榮剛         ,-77.2045
2007,大陸         ,-46.0227
2007,圓剛         ,-63.0968
2007,中鼎         ,9.6438
2007,技嘉         ,-41.676
2007,鈊象         ,-37.3221
2007,晶技         ,-57.8563
2007,華新科       ,-67.5553
2007,海韻電       ,-83.8093
2007,精成科       ,-72.823
2008,神腦         ,63.7755
2008,豐泰         ,100.7716
2008,益航         ,84.8863
2008,技嘉         ,178.5441
2008,建漢         ,125.9091
2008,中興電       ,39.707
2008,順達科       ,118.7886
2008,宏普         ,127.7565
2008,川湖         ,121.4304
2008,中聯資       ,48.2353
