test_year,train_year,best_k,n_features,train_return,train_n_selected,test_return,test_std,test_n_selected
1998,1997,3,16,6.185558241758243,91,14.170215217391304,71.24027922474443,92
1999,1998,3,16,77.6800972972973,74,-47.15128333333334,26.81259610079032,66
2000,1999,3,16,-20.52574831460674,89,21.04549316239316,60.71053739058367,117
2001,2000,3,16,100.01487808219177,73,-21.90346372093023,32.33555078852284,43
2002,2001,3,16,33.68896646341464,82,37.58578329545455,37.94140485051348,88
2003,2002,3,16,65.136825,84,5.51729608695652,34.03011857041353,69
2004,2003,3,16,26.884651372549015,102,14.645616521739132,55.712812709687896,115
2005,2004,3,16,69.29429857142857,70,22.824145433333335,46.54752689563394,60
2006,2005,3,16,68.54209431818181,88,11.204375301204816,46.97869746233513,83
2007,2006,3,16,44.880677647058825,85,-50.17339200000001,20.236359666970365,90
2008,2007,3,16,-32.74183556818182,88,98.86545238095239,70.38167775413481,105
