訓練年份,測試年份,特徵組合編號,特徵組合,平均報酬率(%),選中股票數,準確率
199712,199812,1,"股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA",25.03885833333333,72,0.6
199712,199812,2,"營業利益率OPM, 利潤邊際NPM, M流動比率, M速動比率",5.234017777777779,45,0.555
199712,199812,3,"M營業利益成長率, M稅後淨利成長率, M存貨週轉率 (次), M應收帳款週轉次",18.00633787878788,132,0.58
199712,199812,4,"股價淨值比, 資產報酬率ROA, 營業利益率OPM, M淨值報酬率─稅後, M流動比率",17.67497428571428,70,0.59
199712,199812,5,"股價淨值比, 股價營收比, 市值(百萬元), 收盤價(元)_年",18.807423333333336,90,0.56
199712,199812,6,"市值(百萬元), 收盤價(元)_年, Unknown masked parameter, 股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA, 營業利益率OPM, 利潤邊際NPM, 負債/淨值比, M流動比率, M速動比率, M存貨週轉率 (次), M應收帳款週轉次, M營業利益成長率, M稅後淨利成長率",26.46084756097561,82,0.63
199812,199912,1,"股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA",-51.72840317460317,63,0.47
199812,199912,2,"營業利益率OPM, 利潤邊際NPM, M流動比率, M速動比率",-46.823652222222215,90,0.495
199812,199912,3,"M營業利益成長率, M稅後淨利成長率, M存貨週轉率 (次), M應收帳款週轉次",-48.847961061946904,113,0.45
199812,199912,4,"股價淨值比, 資產報酬率ROA, 營業利益率OPM, M淨值報酬率─稅後, M流動比率",-43.21210638297872,47,0.57
199812,199912,5,"股價淨值比, 股價營收比, 市值(百萬元), 收盤價(元)_年",-41.750249090909094,55,0.53
