訓練年份,測試年份,最佳報酬率(%),最佳特徵組合
199712,199812,26.46084756097561,"市值(百萬元), 收盤價(元)_年, Unknown masked parameter, 股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA, 營業利益率OPM, 利潤邊際NPM, 負債/淨值比, M流動比率, M速動比率, M存貨週轉率 (次), M應收帳款週轉次, M營業利益成長率, M稅後淨利成長率"
199812,199912,-41.750249090909094,"股價淨值比, 股價營收比, 市值(百萬元), 收盤價(元)_年"
199912,200012,36.956767175572516,"市值(百萬元), 收盤價(元)_年, Unknown masked parameter, 股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA, 營業利益率OPM, 利潤邊際NPM, 負債/淨值比, M流動比率, M速動比率, M存貨週轉率 (次), M應收帳款週轉次, M營業利益成長率, M稅後淨利成長率"
200012,200112,-5.38827884057971,"股價淨值比, 股價營收比, 市值(百萬元), 收盤價(元)_年"
200112,200212,40.19355189523809,"股價淨值比, 股價營收比, 市值(百萬元), 收盤價(元)_年"
200212,200312,27.356045,"股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA"
200312,200412,16.665915666666663,"股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA"
200412,200512,35.938953846153844,"股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA"
200512,200612,10.599799999999998,"股價淨值比, 股價營收比, M淨值報酬率─稅後, 資產報酬率ROA"
200612,200712,-43.60602507462687,"M營業利益成長率, M稅後淨利成長率, M存貨週轉率 (次), M應收帳款週轉次"
200712,200812,105.6053709677419,"股價淨值比, 資產報酬率ROA, 營業利益率OPM, M淨值報酬率─稅後, M流動比率"
